,Region_x,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_y,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
170,,,,,,,,,,,,Latin America,36.3495,0.8115,5938.9115,0.536,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
171,,,,,,,,,,,,Africa,36.3495,0.4685,5938.9115,,,,,,2.345,,,,,,3.0858499999999998,1.254,1.3525,3.1294999999999997,2
172,,,,,,,,,,,,Latin America,36.3495,0.726,5938.9115,0.7224999999999999,0.089765,0.10299,1.4595,0.20500000000000002,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
173,,,,,,,,,,,,Africa,36.3495,0.554,28873.7675,0.34950000000000003,0.089765,0.2935,3.4055,0.20500000000000002,3.6285,0.16679000000000002,0.252885,2.7514,1.269,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,3L
174,,,,,,,,,,,,Africa,36.3495,0.3825,5938.9115,0.1617,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,1.269,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
175,,,,,,,,,,,,Asia-Pacific,36.3495,0.726,5938.9115,0.536,0.274,0.482,1.4595,0.615,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
176,,,,,,,,,,,,Latin America,36.3495,,,0.1617,0.089765,0.482,1.4595,0.20500000000000002,2.345,0.16679000000000002,0.252885,92.36099999999999,15.647,0.014865,108.2585,105.93100000000001,1.3525,3.1294999999999997,3L
177,,,,,,,,,,,,Asia-Pacific,36.3495,,,0.7224999999999999,0.6395,0.10299,2.4325,0.7789999999999999,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,2.836,3.1294999999999997,5
178,,,,,,,,,,,,Africa,36.3495,0.4685,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
179,,,,,,,,,,,,Latin America,36.3495,0.726,5938.9115,,,,,,2.345,,,,,,3.0858499999999998,1.254,1.3525,3.1294999999999997,3L
